"","Read_Count_1_A1","Read_Count_1_A2","Read_Count_1_A3","Read_Count_1_B1","Read_Count_1_B2","Read_Count_1_B3","Read_Count_1_C1","Read_Count_1_C2","Read_Count_1_C3","Read_Count_2_A1","Read_Count_2_A2","Read_Count_2_A3","Read_Count_2_B1","Read_Count_2_B2","Read_Count_2_B3","Read_Count_2_C1","Read_Count_2_C2","Read_Count_2_C3"
"CONCOCT_1.faa_14214_pilon_12",0,0,0,0,0,1.09088520053971,0,1.04484048262701,0,2.96786822772449,0,3.7152755544495,0.699695252692497,1.07373538989344,1.21302528412558,1.64444536012684,0,0
"CONCOCT_1.faa_14214_pilon_19",0,0,0,0,0,0,1.44180357030622,1.04484048262701,0,0,0,0,0.699695252692497,0,0,0,0,1.07373538989344
"CONCOCT_1.faa_14214_pilon_20",0,0,0,0,0,0,0,0,0.838578889148699,0.88984275012052,0,0.743413196408633,0,0,0,2.06674869343163,0,0
"CONCOCT_1.faa_14214_pilon_26",1.04484048262701,0,1.04484048262701,1.79923788131345,0,1.70491347983069,0.893984460912661,1.04484048262701,0.838578889148699,0,0,0.743413196408633,1.16884953910963,0,0,1.64444536012684,0.986360450895586,0
"CONCOCT_1.faa_14214_pilon_29",1.04484048262701,0,0,0,0,0,0,1.64444536012684,0.838578889148699,0,1.04484048262701,0,0,0,0,0,0,0
"CONCOCT_1.faa_14214_pilon_30",1.04484048262701,1.10316377246707,0,0,0,0,0.893984460912661,0,0.838578889148699,1.43613426851435,0,0.743413196408633,0,1.07373538989344,0,0,0.986360450895586,1.07373538989344
"CONCOCT_1.faa_14214_pilon_31",1.04484048262701,0,2.65894061860694,0,0,1.09088520053971,1.83790449990018,0,0.838578889148699,0,1.64444536012684,1.59569255144494,0,0,0,1.64444536012684,0.986360450895586,0
"CONCOCT_1.faa_14214_pilon_32",0,0,0,0,1.13312441125729,0,0,1.04484048262701,0.838578889148699,0,1.64444536012684,0,0.699695252692497,0,0,1.04484048262701,0.986360450895586,0
"CONCOCT_1.faa_14214_pilon_5",1.04484048262701,0,0,1.16361569834025,0,1.09088520053971,0,1.04484048262701,0,1.43613426851435,0,0,0,0,0,1.64444536012684,0,1.07373538989344
"CONCOCT_1.faa_14214_pilon_6",1.04484048262701,1.10316377246707,0,0,0,0,0.893984460912661,0,0.838578889148699,0,0,0,0.699695252692497,0,0,1.64444536012684,0.986360450895586,0
"CONCOCT_1.faa_2736_pilon_1",2.06674869343163,0,1.04484048262701,0,0,0,1.44180357030622,0,0,0,0,0.743413196408633,0.699695252692497,1.68246202196483,0,2.39301878878058,0.986360450895586,0
"CONCOCT_1.faa_2736_pilon_2",0,1.72093752837715,0,1.79923788131345,0,1.09088520053971,0.893984460912661,0,0,0,0,0,0,0,0,0,0,0
"CONCOCT_1.faa_2736_pilon_5",0,1.10316377246707,1.64444536012684,0,0,1.70491347983069,0,0,0,1.83144048861397,0,0,0.699695252692497,0,0,1.64444536012684,1.56674762812264,0
"CONCOCT_1.faa_2736_pilon_6",0,0,0,1.16361569834025,0,2.46471730315111,0,1.04484048262701,0,0,0,0,0.699695252692497,0,0,0,0,0
"CONCOCT_1.faa_6261_pilon_3",0,0,0,0,0,0,0,0,0.838578889148699,0,0,0.743413196408633,0.699695252692497,0,0,1.04484048262701,0.986360450895586,0
"CONCOCT_1.faa_8998_pilon_1",1.04484048262701,0,0,0,0,2.73340522019318,0,1.04484048262701,0,0.88984275012052,1.64444536012684,0,0,0,1.21302528412558,0,1.56674762812264,1.68246202196483
