"","Read_Count_1_A1","Read_Count_1_A2","Read_Count_1_A3","Read_Count_1_B1","Read_Count_1_B2","Read_Count_1_B3","Read_Count_1_C1","Read_Count_1_C2","Read_Count_1_C3","Read_Count_2_A1","Read_Count_2_A2","Read_Count_2_A3","Read_Count_2_B1","Read_Count_2_B2","Read_Count_2_B3","Read_Count_2_C1","Read_Count_2_C2","Read_Count_2_C3"
"maxbin2.007.faa_21037_pilon_1",7.17358949120684,5.00430800363976,5.6440917843265,4.50405641607458,3.16574266385328,4.66263966068365,3.21539101373785,3.33870684663339,4.22982196711063,3.66372973669474,4.22680931532255,4.21930713518364,3.31704475328875,3.19321709381394,4.4891234502233,2.30798318123858,4.05472032533779,3.76373022581451
"maxbin2.007.faa_7766_pilon_1",11.1432398016354,9.69283740491627,10.9765657273308,9.96404028594858,8.63193048055742,10.4617498751439,8.96083862775292,10.4757756975323,8.5319204225067,8.81658117066428,10.6334996340289,10.4656490104509,9.94125993323287,9.737526579676,10.6722199371814,9.92537324106828,10.4170336443898,9.66592201225572
"maxbin2.007.faa_7766_pilon_2",2.92920450306943,3.13322226677495,3.00021035411851,3.23808958526612,0,2.63530436226926,0,2.79615266060943,0.637002821799961,2.86506116822368,3.10365852826841,3.97168069607588,1.61782742106181,2.68504053563582,2.92643561900227,1.91316033306054,3.07247985091988,2.42671978935341
"maxbin2.007.faa_7766_pilon_3",4.0390892575104,0,3.36945094889034,3.23808958526612,0.997648927167003,2.1620083839944,0.634633433597894,2.31147536310123,1.07737305908112,0.924443893492635,4.40979072803291,1.97738920288344,1.25060794193217,2.68504053563582,2.57330754377084,3.02031127223248,2.87839141250387,2.69395957515068
"maxbin2.007.faa_contig665pilon_pilon_1",1.68060985061776,0,0,3.23808958526612,1.99647195241237,4.3301682220266,2.82333675785695,0.481702396499437,1.91665838086073,2.45674374825327,0,1.97738920288344,3.41358282107487,0,0,1.91316033306054,1.75808424997037,1.06638124411892
"maxbin2.007.faa_contig665pilon_pilon_10",0,0,1.73713387991462,0,0.997648927167003,3.51426409013563,2.70607346520969,2.42231239037344,1.91665838086073,2.45674374825327,0,1.97738920288344,2.36127710454386,2.96138917597804,2.10472214605433,3.02031127223248,3.02635036739754,1.90127615525775
"maxbin2.007.faa_contig665pilon_pilon_100",1.68060985061776,0,0,1.14081965267412,0,1.45295762112755,1.91177444629216,1.7563156857719,2.28855517878369,1.88512822248236,1.8204797011563,1.97738920288344,0.756774248669784,0.747493596139071,1.40630512054594,1.36779675094452,2.31348128550903,2.09846055019066
"maxbin2.007.faa_contig665pilon_pilon_1000",0,0,0,1.76982475846864,3.3176934012771,0,1.91177444629216,1.57625715860596,1.07737305908112,0,0,0,0,1.23740901125529,0,2.05711152313563,1.37201847169362,2.09846055019066
"maxbin2.007.faa_contig665pilon_pilon_1001",0,0,0,0,1.99647195241237,1.45295762112755,3.12690764263794,1.91637466149401,2.11455715511396,1.88512822248236,2.60026318129586,0,0.756774248669784,1.60246672947665,2.57330754377084,2.70767161675589,2.59208480977259,1.40122678338824
"maxbin2.007.faa_contig665pilon_pilon_1002",1.68060985061776,0,1.73713387991462,0,0.997648927167003,0,0,0.842199185580898,1.07737305908112,0,0,0,0,0,0,0.840266378920021,1.21636403671989,0
