"","Read_Count_1_A1","Read_Count_1_A2","Read_Count_1_A3","Read_Count_1_B1","Read_Count_1_B2","Read_Count_1_B3","Read_Count_1_C1","Read_Count_1_C2","Read_Count_1_C3","Read_Count_2_A1","Read_Count_2_A2","Read_Count_2_A3","Read_Count_2_B1","Read_Count_2_B2","Read_Count_2_B3","Read_Count_2_C1","Read_Count_2_C2","Read_Count_2_C3"
"metabat1.10.faa_10456_pilon_10",0,1.60161864492798,0,0,0,0,0,1.10340607761489,0,0,0,0,0,0,0,1.49539238471656,0,0
"metabat1.10.faa_10456_pilon_13",0,1.31742749281921,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1459635660905,0,1.08612433696544
"metabat1.10.faa_10456_pilon_15",0,0.49258873418402,0,0,0,0,0,0,1.10340607761489,0,0,0,0,0,0,0,0,1.08612433696544
"metabat1.10.faa_10456_pilon_17",1.11577814004902,0.49258873418402,0,0,0,0,0,0,0,0,0,0,0,0,0,0.683893509526277,0,0
"metabat1.10.faa_10456_pilon_19",1.11577814004902,2.85602243723439,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77647362429505,0,2.12733221113384
"metabat1.10.faa_10456_pilon_2",0,1.39389333055282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69868911642179
"metabat1.10.faa_10456_pilon_21",0,0.963170919065936,1.09561261284489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"metabat1.10.faa_10456_pilon_26",0,0.963170919065936,0,0,0,0,0,0,0,0,0,0,0,0,0,0.683893509526277,0,1.08612433696544
"metabat1.10.faa_10456_pilon_27",0,1.06021756723462,0,0,0,0,0,2.15245631909585,0,0,0,0,0,0,0,0,0,0
"metabat1.10.faa_10456_pilon_28",0,1.8926299648205,2.14114312001063,0,0,0,2.14679648502456,0,0,0,0,0,0,0,0,0,0,1.08612433696544
"metabat1.10.faa_10456_pilon_29",0,3.33470197957096,1.09561261284489,0,0,0,1.09950474031299,0,1.72125332911689,0,0,0,0,0,0,2.54886943711983,0,2.72577319509108
"metabat1.10.faa_10456_pilon_30",0,1.60161864492798,0,0,0,0,1.09950474031299,1.72125332911689,0,0,0,0,0,0,0,2.21375676526199,0,0
"metabat1.10.faa_10456_pilon_31",0,1.94439770670171,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49539238471656,0,1.69868911642179
"metabat1.10.faa_10456_pilon_32",0,1.66470670543141,1.09561261284489,0,0,0,0,0,1.10340607761489,0,0,0,0,0,0,1.49539238471656,0,0
"metabat1.10.faa_10456_pilon_33",1.11577814004902,0.859122341631912,1.09561261284489,0,0,0,0,0,0,0,0,0,0,0,0,0.683893509526277,0,0
"metabat1.10.faa_10456_pilon_34",0,0.859122341631912,0,0,0,0,1.09950474031299,0,0,0,0,0,0,0,0,0,0,1.08612433696544
"metabat1.10.faa_10456_pilon_35",0,1.60161864492798,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01161981170328,0,0
"metabat1.10.faa_10456_pilon_36",0,2.34189251589868,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1459635660905,0,1.08612433696544
"metabat1.10.faa_10456_pilon_38",0,0.746982338557644,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77647362429505,1.73735678134571,0
"metabat1.10.faa_10456_pilon_39",0,3.27530028518551,1.09561261284489,0,0,0,0,1.72125332911689,0,0,0,0,0,0,0,0,0,1.08612433696544
"metabat1.10.faa_10456_pilon_4",0,1.60161864492798,0,0,0,0,1.09950474031299,0,1.10340607761489,0,0,0,0,0,0,1.49539238471656,0,1.08612433696544
