"","Read_Count_1_A1","Read_Count_1_A2","Read_Count_1_A3","Read_Count_1_B1","Read_Count_1_B2","Read_Count_1_B3","Read_Count_1_C1","Read_Count_1_C2","Read_Count_1_C3","Read_Count_2_A1","Read_Count_2_A2","Read_Count_2_A3","Read_Count_2_B1","Read_Count_2_B2","Read_Count_2_B3","Read_Count_2_C1","Read_Count_2_C2","Read_Count_2_C3"
"vamb.601.faa_10356_pilon_4",1.31091549736609,0,1.1150373710787,0,0,0,0,0,0,0.718886129485562,0,0,0,0,0,0,0,0
"vamb.601.faa_10364_pilon_4",1.31091549736609,0,1.1150373710787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vamb.601.faa_10439_pilon_2",1.61982849477915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vamb.601.faa_10478_pilon_3",0.374285951247327,0,1.73639376776893,0,0,0,0,0,0,1.84142696502092,0,0,0,0,0,0,0,0
"vamb.601.faa_10531_pilon_4",0.917312258755968,0,0,0,0,0,0,0,0,1.55470294943178,0,0,0,0,0,0,0,0
"vamb.601.faa_10547_pilon_12",1.47362438946624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vamb.601.faa_10547_pilon_9",1.47362438946624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vamb.601.faa_107_pilon_3",0.917312258755968,0,1.1150373710787,0,0,0,0,0,0,1.19649471508147,0,0,0,0,0,0,0,0
"vamb.601.faa_10702_pilon_6",0.917312258755968,0,1.1150373710787,0,0,0,0,0,0,0.718886129485562,0,0,0,0,0,0,0,0
"vamb.601.faa_10763_pilon_2",2.3636673023567,0,1.1150373710787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vamb.601.faa_10807_pilon_5",0.671198889044134,0,1.1150373710787,0,0,0,0,0,0,1.19649471508147,0,0,0,0,0,0,0,0
"vamb.601.faa_10807_pilon_6",1.31091549736609,0,0,0,0,0,0,0,0,0.718886129485562,0,0,0,0,0,0,0,0
"vamb.601.faa_10897_pilon_4",1.31091549736609,0,0,0,0,0,0,0,0,1.19649471508147,0,0,0,0,0,0,0,0
"vamb.601.faa_10897_pilon_5",1.47362438946624,0,1.1150373710787,0,0,0,0,0,0,1.19649471508147,0,0,0,0,0,0,0,0
"vamb.601.faa_10901_pilon_3",0.374285951247327,0,2.16928962478574,0,0,0,0,0,0,1.55470294943178,0,0,0,0,0,0,0,0
"vamb.601.faa_11011_pilon_3",1.12749555237653,0,1.1150373710787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vamb.601.faa_11025_pilon_2",1.47362438946624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vamb.601.faa_11060_pilon_1",1.47362438946624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vamb.601.faa_11092_pilon_1",1.31091549736609,0,1.73639376776893,0,0,0,0,0,0,1.84142696502092,0,0,0,0,0,0,0,0
"vamb.601.faa_1115_pilon_2",1.47362438946624,0,1.73639376776893,0,0,0,0,0,0,1.55470294943178,0,0,0,0,0,0,0,0
"vamb.601.faa_11150_pilon_4",0.374285951247327,0,0,0,0,0,0,0,0,1.84142696502092,0,0,0,0,0,0,0,0
"vamb.601.faa_11231_pilon_1",0.917312258755968,0,1.1150373710787,0,0,0,0,0,0,0.718886129485562,0,0,0,0,0,0,0,0
"vamb.601.faa_11231_pilon_3",1.47362438946624,0,1.1150373710787,0,0,0,0,0,0,0.718886129485562,0,0,0,0,0,0,0,0
"vamb.601.faa_11328_pilon_2",2.72852119541897,0,4.73617927442349,0,0,0,0,0,0,3.23217569625891,1.08290296258662,2.18725284948345,0,0,0,0,0,0
"vamb.601.faa_11328_pilon_6",1.75256999287837,0,2.16928962478574,0,0,0,0,0,0,1.55470294943178,0,1.12749555237653,0,0,0,0,0,0
"vamb.601.faa_11328_pilon_7",2.85202979790981,0,4.01418392450989,0,0,0,0,0,0,2.46502770081482,1.08290296258662,0,0,0,0,0,0,0
"vamb.601.faa_11328_pilon_8",1.12749555237653,0,2.77189212428947,0,0,0,0,0,0,0.718886129485562,0,0,0,0,0,0,0,0
"vamb.601.faa_11372_pilon_2",1.12749555237653,0,2.16928962478574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vamb.601.faa_11411_pilon_11",1.31091549736609,0,1.1150373710787,0,0,0,0,0,0,0.718886129485562,0,0,0,0,0,0,0,0
"vamb.601.faa_11411_pilon_6",1.61982849477915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vamb.601.faa_11411_pilon_8",1.12749555237653,0,1.1150373710787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vamb.601.faa_11417_pilon_3",1.12749555237653,0,1.1150373710787,0,0,0,0,0,0,0,0,1.12749555237653,0,0,0,0,0,0
"vamb.601.faa_11421_pilon_2",0.374285951247327,0,1.1150373710787,0,0,0,0,0,0,0,0,2.18725284948345,0,0,0,0,0,0
"vamb.601.faa_11435_pilon_6",1.12749555237653,0,0,0,0,0,0,0,0,1.19649471508147,0,1.12749555237653,0,0,0,0,0,0
"vamb.601.faa_11574_pilon_2",1.61982849477915,0,1.1150373710787,0,0,0,0,0,0,0.718886129485562,0,1.12749555237653,0,0,0,0,0,0
"vamb.601.faa_11580_pilon_2",0.671198889044134,0,1.73639376776893,0,0,0,0,0,0,0.718886129485562,0,0,0,0,0,0,0,0
"vamb.601.faa_11604_pilon_2",1.61982849477915,0,1.1150373710787,0,0,0,0,0,0,1.19649471508147,0,0,0,0,0,0,0,0
"vamb.601.faa_11690_pilon_10",0.671198889044134,0,1.73639376776893,0,0,0,0,0,0,1.19649471508147,0,0,0,0,0,0,0,0
"vamb.601.faa_11690_pilon_7",1.12749555237653,0,0,0,0,0,0,0,0,0.718886129485562,0,0,0,0,0,0,0,0
"vamb.601.faa_11690_pilon_9",1.12749555237653,0,1.1150373710787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vamb.601.faa_11744_pilon_4",1.31091549736609,0,0,0,0,0,0,0,0,1.19649471508147,0,0,0,0,0,0,0,0
"vamb.601.faa_11762_pilon_1",0.671198889044134,0,1.1150373710787,0,0,0,0,0,0,1.19649471508147,0,0,0,0,0,0,0,0
"vamb.601.faa_11769_pilon_1",1.31091549736609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vamb.601.faa_11877_pilon_1",1.61982849477915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vamb.601.faa_11923_pilon_4",0.374285951247327,0,1.1150373710787,0,0,0,0,0,0,0.718886129485562,0,1.75256999287837,0,0,0,0,0,0
"vamb.601.faa_11963_pilon_6",1.31091549736609,0,0,0,0,0,0,0,0,0.718886129485562,0,0,0,0,0,0,0,0
"vamb.601.faa_12024_pilon_7",1.87412047778552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vamb.601.faa_12024_pilon_9",0.917312258755968,0,1.73639376776893,0,0,0,0,0,0,1.55470294943178,0,1.75256999287837,0,0,0,0,0,0
"vamb.601.faa_1217_pilon_1",0.374285951247327,0,1.1150373710787,0,0,0,0,0,0,1.19649471508147,0,1.12749555237653,0,0,0,0,0,0
"vamb.601.faa_12174_pilon_1",0.917312258755968,0,1.1150373710787,0,0,0,0,0,0,0,0,2.18725284948345,0,0,0,0,0,0
"vamb.601.faa_12236_pilon_3",1.31091549736609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vamb.601.faa_12269_pilon_6",1.31091549736609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vamb.601.faa_12280_pilon_2",1.31091549736609,0,0,0,0,0,0,0,0,0.718886129485562,0,0,0,0,0,0,0,0
"vamb.601.faa_12280_pilon_3",1.31091549736609,0,2.77189212428947,0,0,0,0,0,0,0.718886129485562,0,0,0,0,0,0,0,0
"vamb.601.faa_12354_pilon_10",1.12749555237653,0,0,0,0,0,0,0,0,0,0,1.12749555237653,0,0,0,0,0,0
"vamb.601.faa_12354_pilon_12",1.31091549736609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vamb.601.faa_12354_pilon_4",0.671198889044134,0,1.1150373710787,0,0,0,0,0,0,1.19649471508147,0,0,0,0,0,0,0,0
