met,metName,type,A1-s2,A2-s2,A3-s2,B1-s2,B2-s2,B3-s2,C1-s2,C2-s2,C3-s2,A1-s3,A2-s3,A3-s3,B1-s3,B2-s3,B3-s3,C1-s3,C2-s3,C3-s3
cpd00029,Acetate,mean,2.674,2.562,2.508,0,-0.039,0,0.005,0.606,0.513,-2.096,-15.354,5.577,0.049,-0.063,0,0.683,0.747,0.849
cpd01024,Methane,-,0.6,0.736,0.548,2.82,3.227,2.578,4.109,1.285,2.416,1.116,0.92,0.604,0.425,-0.043,1.482,0.271,2.66,1.942
cpd11640,Hydrogen,lb,-6.524,-7.536,-6.904,-44.773,-30.107,-31.878,-13.653,-15.749,-11.000,-6.455,-7.036,-6.531,-37.412,-24.335,-23.965,-12.648,-17.396,-12.046
cpd00011,CO2,lb,-1.619,-1.870,-1.713,-11.198,-7.530,-7.973,-3.413,-3.937,-2.750,-1.602,-1.746,-1.621,-9.357,-6.086,-5.994,-3.162,-4.349,-3.011
cpd00029,Acetate,std,2.515,2.847,2.234,0.026,0.027,0.028,0.2,0.234,0.209,1.142,2.709,2.85,0.023,0.022,0.021,0.198,0.302,0.247
cpd01024,Methane,std,0.180,0.226,0.146,0.190,0.487,0.313,0.371,0.096,0.206,0.060,0.067,0.063,0.046,0.046,0.053,0.086,0.087,0.058
cpd00119,Histidine,mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00132,Asparagine,mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00054,Serine,mean,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0
cpd00053,Glutamine,mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00051,Arginine,mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00033,Glycine,mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00041,Aspartic Acid,mean,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0
cpd00023,Glutamic Acid,mean,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.001,0.001,0,0,0
cpd00161,Threonine,mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00035,Alanine,mean,0.002,0.001,0,0,0,0,0,0,0,0.001,-0.001,0.002,0,0,0,0,0,0
cpd00281,GABA,mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00084,Cysteine,mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00129,Proline,mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00064,Ornithine,mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00039,Lysine,mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00069,Tyrosine,mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00060,Methionine,mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00156,Valine,mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00322,Isoleucine,mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00107,Leucine,mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00066,Phenylalanine,mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00065,Tryptophan,mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00119,Histidine,std,0.008,0.01,0.009,0.006,0.004,0.005,0.004,0.005,0.003,0.008,0.009,0.009,0.005,0.003,0.003,0.004,0.005,0.004
cpd00132,Asparagine,std,0.01,0.011,0.01,0.007,0.005,0.005,0.005,0.006,0.004,0.01,0.011,0.01,0.006,0.004,0.004,0.004,0.006,0.004
cpd00054,Serine,std,0.012,0.014,0.013,0.009,0.006,0.007,0.006,0.007,0.005,0.012,0.014,0.013,0.008,0.005,0.005,0.006,0.008,0.005
cpd00053,Glutamine,std,0.009,0.01,0.009,0.007,0.005,0.005,0.004,0.005,0.003,0.009,0.01,0.009,0.006,0.004,0.004,0.004,0.006,0.004
cpd00051,Arginine,std,0.007,0.009,0.008,0.006,0.004,0.004,0.004,0.004,0.003,0.007,0.008,0.008,0.005,0.003,0.003,0.003,0.005,0.003
cpd00033,Glycine,std,0.017,0.02,0.018,0.013,0.009,0.009,0.008,0.01,0.007,0.017,0.019,0.018,0.011,0.007,0.007,0.008,0.011,0.008
cpd00041,Aspartic Acid,std,0.01,0.011,0.01,0.007,0.005,0.005,0.005,0.005,0.004,0.01,0.011,0.01,0.006,0.004,0.004,0.004,0.006,0.004
cpd00023,Glutamic Acid,std,0.009,0.01,0.009,0.007,0.005,0.005,0.004,0.005,0.003,0.009,0.01,0.009,0.006,0.004,0.004,0.004,0.006,0.004
cpd00161,Threonine,std,0.011,0.013,0.011,0.008,0.006,0.006,0.005,0.006,0.004,0.011,0.012,0.011,0.007,0.005,0.004,0.005,0.007,0.005
cpd00035,Alanine,std,0.015,0.017,0.015,0.011,0.007,0.008,0.007,0.008,0.006,0.015,0.016,0.015,0.009,0.006,0.006,0.007,0.009,0.006
cpd00281,GABA,std,0.013,0.014,0.013,0.01,0.006,0.007,0.006,0.007,0.005,0.013,0.014,0.013,0.008,0.005,0.005,0.006,0.008,0.005
cpd00084,Cysteine,std,0.011,0.012,0.011,0.008,0.005,0.006,0.005,0.006,0.004,0.011,0.012,0.011,0.007,0.004,0.004,0.005,0.007,0.005
cpd00129,Proline,std,0.011,0.013,0.012,0.009,0.006,0.006,0.005,0.006,0.004,0.011,0.012,0.011,0.007,0.005,0.005,0.005,0.007,0.005
cpd00064,Ornithine,std,0.01,0.011,0.01,0.007,0.005,0.005,0.005,0.006,0.004,0.01,0.011,0.01,0.006,0.004,0.004,0.004,0.006,0.004
cpd00039,Lysine,std,0.009,0.01,0.009,0.007,0.005,0.005,0.004,0.005,0.003,0.009,0.01,0.009,0.006,0.004,0.004,0.004,0.006,0.004
cpd00069,Tyrosine,std,0.007,0.008,0.008,0.005,0.004,0.004,0.003,0.004,0.003,0.007,0.008,0.007,0.005,0.003,0.003,0.003,0.004,0.003
cpd00060,Methionine,std,0.009,0.01,0.009,0.007,0.004,0.005,0.004,0.005,0.003,0.009,0.01,0.009,0.006,0.004,0.004,0.004,0.005,0.004
